Asset,Entry Date,Entry Price,Exit Date,Exit Price,PnL $,PnL %,Result
Gold,2024-11-18,2610.6,2024-12-12,2687.5,76.9,2.9457,WIN
Oil,2024-07-31,77.91,2024-10-08,73.57,-4.34,-5.5705,LOSS
Oil,2024-10-30,68.61,2025-01-21,75.89,7.28,10.6107,WIN
Oil,2025-02-07,71.0,2025-04-03,66.95,-4.05,-5.7042,LOSS
Oil,2025-04-16,62.47,2025-06-23,68.51,6.04,9.6686,WIN
Oil,2025-08-14,63.96,2026-01-15,59.19,-4.77,-7.4578,LOSS
Oil,2026-04-20,89.61,2026-04-30,105.07,15.46,17.2525,WIN
Bitcoin,2024-07-12,57899.46,2024-07-24,65372.13,7472.67,12.9063,WIN
Bitcoin,2024-08-08,61710.14,2024-09-25,63143.14,1433.0,2.3221,WIN
Bitcoin,2025-03-02,94248.35,2025-05-29,105641.76,11393.41,12.0887,WIN
Bitcoin,2025-06-23,105577.77,2025-07-04,108034.34,2456.57,2.3268,WIN
Bitcoin,2025-08-03,114217.67,2025-08-11,118731.45,4513.78,3.9519,WIN
Bitcoin,2025-08-20,114274.74,2025-09-17,116468.51,2193.77,1.9197,WIN
Bitcoin,2025-09-28,112122.64,2025-10-10,113214.37,1091.73,0.9737,WIN
Bitcoin,2025-10-12,115169.77,2026-01-07,91308.05,-23861.72,-20.7187,LOSS
Bitcoin,2026-01-21,89376.96,2026-03-17,73922.48,-15454.48,-17.2913,LOSS
Apple,2024-08-08,211.48,2024-08-22,222.86,11.38,5.3811,WIN
Apple,2024-09-18,219.05,2024-09-20,226.5,7.45,3.401,WIN
Apple,2024-11-05,221.79,2024-12-31,248.83,27.04,12.1917,WIN
Apple,2025-01-15,236.36,2025-02-26,239.1,2.74,1.1592,WIN
Apple,2025-03-21,217.12,2025-07-14,207.8,-9.32,-4.2926,LOSS
Apple,2025-08-06,212.41,2025-08-21,224.27,11.86,5.5835,WIN
Apple,2026-01-26,254.94,2026-02-12,261.49,6.55,2.5692,WIN
Apple,2026-02-17,263.64,2026-04-16,263.16,-0.48,-0.1821,LOSS
Apple,2026-03-25,252.39,2026-04-16,263.16,10.77,4.2672,WIN
S&P 500,2024-07-26,5459.1,2024-08-22,5570.64,111.54,2.0432,WIN
S&P 500,2024-12-20,5930.85,2025-01-27,6012.28,81.43,1.373,WIN
S&P 500,2025-02-28,5954.5,2025-05-21,5844.61,-109.89,-1.8455,LOSS
S&P 500,2025-11-19,6642.16,2025-12-12,6827.41,185.25,2.789,WIN
S&P 500,2026-02-06,6932.3,2026-04-10,6816.89,-115.41,-1.6648,LOSS
S&P 500,2026-03-31,6528.52,2026-06-05,7383.74,855.22,13.0998,WIN
