Date,Asset,Close,RSI,SMA_20,Signal
2026-05-02,Test Asset,88.0,28.0,89.0,BUY
2026-05-03,Test Asset,95.0,45.0,91.0,HOLD
2026-05-04,Test Asset,112.0,72.0,110.0,SELL
2026-03-03,Gold,5107.4,51.16,5049.45,SELL
2026-03-04,Gold,5120.2,51.74,5060.27,HOLD
2026-03-31,Gold,4647.6,43.79,4821.94,BUY
2026-04-01,Gold,4783.2,49.42,4805.09,HOLD
2026-04-30,Gold,4614.7,43.16,4718.55,BUY
2026-05-01,Gold,4629.9,44.23,4717.48,HOLD
2026-05-05,Gold,4555.8,41.24,4705.54,BUY
2026-05-06,Gold,4681.9,49.42,4702.16,HOLD
2026-02-24,Oil,65.63,58.29,64.23,SELL
2026-02-25,Oil,65.42,57.03,64.38,HOLD
2026-03-23,Oil,88.13,56.02,84.21,SELL
2026-03-24,Oil,92.35,59.85,85.54,HOLD
2026-04-08,Oil,94.41,50.67,98.14,SELL
2026-04-09,Oil,97.87,53.44,98.67,HOLD
2026-04-30,Oil,105.07,59.55,97.96,SELL
2026-05-01,Oil,101.94,56.01,97.48,HOLD
2026-03-03,Gold,5107.4,51.16,5049.45,SELL
2026-03-04,Gold,5120.2,51.74,5060.27,HOLD
2026-03-31,Gold,4647.6,43.79,4821.94,BUY
2026-04-01,Gold,4783.2,49.42,4805.09,HOLD
2026-04-30,Gold,4614.7,43.16,4718.55,BUY
2026-05-01,Gold,4629.9,44.23,4717.48,HOLD
2026-05-05,Gold,4555.8,41.24,4705.54,BUY
2026-05-06,Gold,4681.9,49.42,4702.16,HOLD
2026-02-24,Oil,65.63,58.29,64.23,SELL
2026-02-25,Oil,65.42,57.03,64.38,HOLD
2026-03-23,Oil,88.13,56.02,84.21,SELL
2026-03-24,Oil,92.35,59.85,85.54,HOLD
2026-04-08,Oil,94.41,50.67,98.14,SELL
2026-04-09,Oil,97.87,53.44,98.67,HOLD
2026-04-30,Oil,105.07,59.55,97.96,SELL
2026-05-01,Oil,101.94,56.01,97.48,HOLD
